algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
ICA-LiNGAM,0.0,5000,1013,0,1,0.0,0.024
DirectLiNGAM,0.0,5000,1013,0,1,0.0,0.123
PC,0.0,5000,1014,0,5,,0.028
FCI,0.0,5000,1014,0,8,,0.04
GES,0.0,5000,1014,0,3,,0.052
GRaSP,0.0,5000,1014,0,3,,0.01
ICA-LiNGAM,0.0,5000,1014,0,1,0.0,0.025
DirectLiNGAM,0.0,5000,1014,0,1,0.0,0.116
PC,0.0,5000,1015,0,5,,0.029
FCI,0.0,5000,1015,0,8,,0.041
GES,0.0,5000,1015,0,8,,0.048
GRaSP,0.0,5000,1015,0,3,,0.009
ICA-LiNGAM,0.0,5000,1015,0,1,0.0,0.025
DirectLiNGAM,0.0,5000,1015,0,1,0.0,0.117
PC,0.0,5000,1016,0,7,,0.024
FCI,0.0,5000,1016,0,10,,0.038
GES,0.0,5000,1016,0,3,,0.05
GRaSP,0.0,5000,1016,0,3,,0.01
ICA-LiNGAM,0.0,5000,1016,0,1,0.0,0.025
DirectLiNGAM,0.0,5000,1016,0,1,0.0,0.11
PC,0.0,5000,1017,0,4,,0.032
FCI,0.0,5000,1017,0,8,,0.056
GES,0.0,5000,1017,0,15,,0.043
GRaSP,0.0,5000,1017,0,17,,0.011
ICA-LiNGAM,0.0,5000,1017,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1017,0,0,0.0,0.13
PC,0.0,5000,1018,0,7,,0.03
FCI,0.0,5000,1018,0,9,,0.039
GES,0.0,5000,1018,0,14,,0.037
GRaSP,0.0,5000,1018,0,5,,0.009
ICA-LiNGAM,0.0,5000,1018,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1018,0,0,0.0,0.12
PC,0.0,5000,1019,0,4,,0.038
FCI,0.0,5000,1019,0,8,,0.057
GES,0.0,5000,1019,0,5,,0.056
GRaSP,0.0,5000,1019,0,5,,0.009
ICA-LiNGAM,0.0,5000,1019,0,0,0.0,0.027
DirectLiNGAM,0.0,5000,1019,0,0,0.0,0.135
PC,0.0,10000,1000,0,7,,0.03
FCI,0.0,10000,1000,0,10,,0.048
GES,0.0,10000,1000,0,5,,0.051
GRaSP,0.0,10000,1000,0,3,,0.01
ICA-LiNGAM,0.0,10000,1000,0,0,0.0,0.04
DirectLiNGAM,0.0,10000,1000,0,0,0.0,0.207
PC,0.0,10000,1001,0,6,,0.028
FCI,0.0,10000,1001,0,9,,0.044
GES,0.0,10000,1001,1,10,,0.05
GRaSP,0.0,10000,1001,0,3,,0.008
ICA-LiNGAM,0.0,10000,1001,0,0,0.0,0.038
DirectLiNGAM,0.0,10000,1001,0,0,0.0,0.196
PC,0.0,10000,1002,0,6,,0.024
FCI,0.0,10000,1002,0,9,,0.041
GES,0.0,10000,1002,0,15,,0.041
